Random Target, DT, DT, DT, DT
,10343,10881,10127,754
Avg of 1000
Random Target, Stack, Stack, Stack, Stack
,781,10179,10127,52
,877,10197,10127,70
,832,10191,10127,64
,846,10193,10127,66
,932,10203,10127,76
,765,10182,10127,55
,839,10184,10127,57
,1023,10207,10127,80
,913,10198,10127,71
,853,10187,10127,60
Avg of 100
,1863,10264,10127,137
,1596,10247,10127,120
,1709,10253,10127,126
,1694,10257,10127,130
,1697,10259,10127,132
,1760,10255,10127,128
,1674,10252,10127,125
,1761,10260,10127,133
,1837,10271,10127,144
,1750,10261,10127,134
Avg of 200
,2637,10329,10127,202
,2784,10339,10127,212
,2927,10363,10127,236
,2719,10333,10127,206
,2541,10316,10127,189
,2820,10348,10127,221
,2749,10339,10127,212
,2683,10336,10127,209
,2515,10313,10127,186
,2485,10305,10127,178
Avg of 300
,3415,10395,10127,268
,3804,10424,10127,297
,3250,10365,10127,238
,3491,10390,10127,263
,3409,10380,10127,253
,3250,10369,10127,242
,3350,10375,10127,248
,3270,10375,10127,248
,3391,10388,10127,261
,3432,10384,10127,257
Avg of 400
,4570,10462,10127,335
,4369,10466,10127,339
,4387,10464,10127,337
,3953,10424,10127,297
,4220,10446,10127,319
,3952,10414,10127,287
,4219,10450,10127,323
,3960,10414,10127,287
,4307,10461,10127,334
,4174,10446,10127,319
Avg of 500
,5261,10522,10127,395
,5101,10513,10127,386
,5451,10554,10127,427
,5020,10490,10127,363
,5114,10511,10127,384
,5053,10519,10127,392
,4909,10494,10127,367
,5409,10544,10127,417
,5128,10521,10127,394
,5096,10515,10127,388
Avg of 600
,5943,10579,10127,452
,6044,10588,10127,461
,5813,10568,10127,441
,5983,10575,10127,448
,5560,10543,10127,416
,6154,10598,10127,471
,6065,10583,10127,456
,5719,10557,10127,430
,5858,10580,10127,453
,5629,10550,10127,423
Avg of 700
,6523,10623,10127,496
,6663,10631,10127,504
,6950,10660,10127,533
,5845,10547,10127,420
,7073,10673,10127,546
,6875,10664,10127,537
,7044,10678,10127,551
,6866,10650,10127,523
,6534,10632,10127,505
,6719,10641,10127,514
Avg of 800
,7390,10683,10127,556
,7820,10739,10127,612
,7936,10736,10127,609
,7551,10698,10127,571
